35.40%,31,,APCC (Association des Professionnels en Conseil Climat Énergie et Environnement),"L’Association des Professionnels en Conseil Climat, énergie et environnement est une association à but non lucratif. Elle représente les entreprises qui accompagnent et conseillent au quotidien les entreprises et collectivités sur les sujets liés au climat, à la transition énergétique et à la mobilité durable.L’Association des Professionnels en Conseil Climat, énergie et environnement est une association à but non lucratif. Elle représente les entreprises qui accompagnent et conseillent au quotidien les entreprises et collectivités sur les sujets liés au climat, à la transition énergétique et à la mobilité durable.",https://apc-climat.fr/,1,France,France,secteur d'activité des assocations à but non lucratif,2010,NC,4 salariés,Public,Association,,,,Basse,NC,Abonnement,0,1,,,TBD,N,,,,N,N,N,,http://www.apc-carbone.fr/ ,"Association des Professionnels en Conseil Climat
Énergie & Environnement (APCC)",,"95 av. du P. Wilson
93108 Montreuil cedex",01 84 16 95 76,,"18/03 mail envoyé à Suzy Cantraine, Responsable communication pour l'APCC 
Relance le 24/03. Renvoyé vers collègue et bureau de l'association le 31/03. Deuxième rdv confirmé","rdv le 13/04/2021 avec Emeline Ivars, Coordinatrice de l'APCC",QLU,Antoine Ngo,En cours,N,2ème RDV,,,N,N,N,,,,,,,,,,,Report,,,,,,,,,,,,,,,"Compte rendu rdv w/ E. Ivars :
Le but premier de l'APCC est de fédérer les professionels qui souhaitent aider à la transition écologique (plans de déplacement, bilan carbonne). Elle se charge donc de réunir ses membres dans un annuaire, organiser des groupes de travail, conférences et rencontres. Elle est aussi en discussion avec les institutions (les groupes de travail peuvent être ammené à produire des rapports pour ces dernières) et souhaite remonter les réalités observées sur le terrain. Dans ce contexte, l'APCC n'a pas de données à nous fournir directement mais ses membres peuvent en avoir. Plusieurs proposition de l'APCC : 1) Square pourrait rejoindre l'association (voir avec Marc Campi) 2) passer des messages à ses membres (pour la problématique données climatiques actuelle ou bien un appel à partenariat pour une co-réponse à appel d'offre ADEME)
Exemple de conférence : https://apc-climat.fr/webconf-apcc-risques-physiques-et-entreprises-quels-leviers-pour-passer-a-laction/
Appel à présentations pour le sommet virtuel du climat (auquel on pourrait potentiellement participer?) : http://www.sommetvirtuelduclimat.com/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
31.86%,32,,Arabesque,"We are a global group of financial technology companies offering sustainable investment, advisory, and data services through our advanced ESG and AI capabilities. Established in 2013, our story is one of partnership between leaders in finance, mathematics, AI, and sustainability working together to deliver a new approach to capital markets. We believe economic value creation can and should be combined with environmental stewardship, social inclusion and sound governance. Through our companies, we leverage cutting-edge technology, research and data to deliver sustainable, transparent financial solutions for a changing world.",https://www.arabesque.com/,1,UK,Monde,"groupe mondial de sociétés de technologie financière offrant des services d'investissement, de conseil et de données durables grâce à leurs expertises en ESG et IA avancées",2013,NC,51-200,Privé,Tech,,,,Elevée,Elevée,Abonnement,0,1,,,ESG,N,,,,,,Sans objet,https://www.arabesque.com/,,Arabesque Asset Management Ltd,,"2nd Floor, Victoria House Bloomsbury Square
London WC1B 4DA
",+44 20 3946 3710,info@arabesque.com,"Mail envoyé le 06/04 à l'adresse générique (Laura) 
Relance le 26/04/2021 (Laura)",,Romain Berrou,Laura W,A relancer,N,,,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
69.91%,33,,Asset resolution,"Asset Resolution est le provider de donnée de PACTA. le dictionnaire de données a été envoyé à Sarah le 14/04/2021. AR traite les données concernant les domaines suivants : Oil & Gas, Coal, Power, LDV, HDV, Aviation, Shipping, Cement, Steel
",https://asset-resolution.com/,1,France,Monde,optimiser l'accessibilité et l'utilisation des données au niveau des actifs physiques pour l'analyse financière liée au climat.,2018,NC,2-10 employés,Privé,Tech,,PACTA,Online tool to analyze exposure to transition risks in equity and fixed income portfolios over multiple scenario,Elevée,Elevée,Open data/Achat de données,0,1,"American Airlines Group Inc
Duke Energy Corp
Ford Motor Co
Lafargeholcim Ltd
China Steel Corp
Ap Moller - Maersk A/S
Coal India Ltd
Royal Dutch Shell Plc
",Données d'Asset resolution ,Transition,N,N,N,O,N,N,N,https://asset-resolution.com/,,"Gabrielle Couderc : Managing Director - Admin & Finance bureau Paris   
Thibaut Ghirardi: Thibaut@2degrees-investing.org
",,"Il faut conatcter asset resolution qui s'occupe de la data : 
",,noemie@asset-resolution.com,,point le 31/03/2021 à 14h30 ,Guillaume Flament,Soukaina TAZROUTI,Fini,O,A analyser,,Elisabeth CVAR,O,N,O,Excel,,,,,,,,,,Data,,,,?,,,,,,?,2021,,Oui,Oui,"online tool to analyze exposure to transition risks in equity and fixed income portfolios over multiple scenarios https://www.transitionmonitor.com/pacta-for-banks-2020/data/ form pour les data gratuites. 
Remarque : Les conditions d'utilisations des data gratuites semble en contradiction avec les règles présentées dans le formulaire.   ",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,"-Aviation
-Power
-Automotive
-Cement&Steel
-Shipping
-Coal
-Oil&Gas",N,N,N,N,N,,N,N,N,,,,#REF!,,
37.17%,34,,Association of Issuing Bodies (AIB),"The purpose of the AIB is to develop, use and promote a standardised system: the European Energy Certificate System - ""EECS"".

EECS is based on structures and procedures which ensure the reliable operation of international certificate schemes. These schemes satisfy the criteria of objectivity, non-discrimination, transparency and costs effectiveness, in order to facilitate the international exchange of guarantees of origin.",https://www.aib-net.org/,1,UE,Monde,secteur d'activité des assocations à but non lucratif,2002,Non lucratif,2-10 employés,Public,Association,,,Consommation d’énergie ,Moyenne,Elevée,Abonnement,0,1,,,Transverse,N,,,,N,N,N,https://www.aib-net.org/,"Système normalisé, basé sur un environnement, des structures et des procédures harmonisés afin d'assurer le fonctionnement fiable des systèmes internationaux de certificats énergétiques
https://www.aib-net.org/ 
https://www.aib-net.org/facts/national-datasheets-gos-and-disclosure",Sans objet,,Sans objet,"""+32 (486) 55 83 01""",info@aib-net.org,"09/03/2021 : Répondeur Flamand/anglais global. Message laissé en anglais, à rappeler.
Rappelé le 18/03 sans réponse encore. Mail envoyé.
Réponse négative reçue par mail",,QLU,Antoine Ngo,Fini,N,Pas de collaboration,,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,Réponse négative reçue par mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
50.44%,35,,ATMO,"En 2000, les AASQA ont créé la Fédération Atmo France pour les représenter au niveau national et partager expertise et moyens. Atmo France poursuit un objectif d’intérêt général : contribuer, aux côtés des autres acteurs nationaux, à doter la France d’un dispositif assurant la surveillance de la qualité de l’air et l’évaluation des actions visant à l’améliorer.
Regroupe : AirPARIF, ATMO grand est, ATMA hauts de france,  ATMO Normandie... (cf : https://atmo-france.org/la-qualite-de-lair-dans-votre-region/)",https://atmo-france.org,1,France,France,secteur d'activité des assocations à but non lucratif,2001,Non lucratif,2-10 employés,Public,Association,,Information sur la qualité de l'air,"11 jeux de données sur des polluants majoritaires (particules fines (PM10, PM2,5), oxyde d’azote (NOx), dioxyde de soufre (SO2), monoxyde de carbone (CO), ozone (O3), benzène (C6H6), plomb (Pb), cadmium (Cd), arsenic (As), nickel (Ni), composés organiques volatiles (COVM), ammoniac (NH3)) sont disponibles : données mesurées aux stations, données d’émissions, cartes annuelles d’exposition des populations et territoires, indicateurs quotidiens (indices et épisodes de pollution).
Ces données sont également diversifiées d’un point de vue temporel, allant d’une donnée horaire jusqu’à une donnée annuelle. Pour certaines d’entre elles, un historique des 5 dernières années est disponible.",Basse,Basse,Open Data,1,0,France,Statistiques officielles,Physique,N,O,O,N,N,N,N,https://atmo-france.org/les-donnees/,,Sans objet,,Sans objet,Sans objet,data@atmo-france.org,Sans objet,Sans objet,Zoe Marquoin,Florian Renault,Non commencé,Sans objet,Open Data,Open Data,,N,N,"Oui 
https://atmo-france.org/wp-content/uploads/2021/01/notice_decembre2020.pdf","Excel, csv, kmp, API",N,,,,,,,,,Data,,,,2021 en majorité selon les stations,,,France ,,,dépend des stations ,2021,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VIDE,,
35.40%,36,,Banque de France,"La Banque de France (BDF) est la banque centrale de la France. Il s'agit d'une institution bicentenaire, de capital privé lors de sa création le 18 janvier 1800 sous le Consulat, puis devenue propriété de l'État français le 1er janvier 19461 ",https://www.banque-france.fr/,1,France,France,banque centrale,18 January 1800,Non lucratif,plus de 10 000 salariés,Public,établissement public à caractère administratif,Eurosysteme,Données FIBEN - Score z BdF,"Regroupés par thématique (Identité, Dirigeants/Actionnaires, Données financières, etc..), les modules vous apportent les informations essentielles sur vos clients et prospects et sont une source indispensable pour la maîtrise de votre risque. ",Moyenne,Elevée,Abonnement,0,1,,,Autre,N,,,,N,,N,https://entreprises.banque-france.fr/,,Sans objet,,Sans objet,01.41.92.23.51 / Antenne Paris: 01.44.61.15.75,fiben@banque-France.fr,Mail adresse générique envoyé le 26/04/2021,,Zoe Marquoin,Julien Cazabat,En cours,N,,,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
18.58%,37,,Banque mondiale,"La Banque mondiale, parfois abrégée BM (en anglais : World Bank) est une institution financière internationale qui accorde des prêts à effet de levier à des pays en développement pour des projets d'investissement.",https://www.banquemondiale.org/fr/home,3,USA,Monde,banque mondiale,Juillet 1944,Non lucratif,environ 10 000 salariés,Public,"	
Institution financière internationale, institution spécialisée des Nations unies, organisation internationale",Nations Unies,https://donnees.banquemondiale.org/indicator/EN.ATM.GHGT.KT.CE?end=2012&name_desc=false&start=2012&view=bar,,Basse,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
71.68%,38,,Banque mondiale,"La Banque mondiale, parfois abrégée BM (en anglais : World Bank) est une institution financière internationale qui accorde des prêts à effet de levier à des pays en développement pour des projets d'investissement.",https://www.banquemondiale.org/fr/home,3,USA,Monde,banque mondiale,Juillet 1944,Non lucratif,environ 10 000 salariés,Public,"	
Institution financière internationale, institution spécialisée des Nations unies, organisation internationale",Nations Unies,PIB par pays,,Elevée,Basse,Open data,1,0,Monde,Statistique officielles,Autre,N,N,N,N,N,O,N,https://donnees.banquemondiale.org/indicator/NY.GDP.MKTP.CD,,Sans objet,,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sarah Daymier,Sarah DAYMIER,Fini,N,,Open Data,Sarah DAYMIER,N,N,N,CSV,N,,,,,,,,,Data,O,O,N,,,,Monde,Pays,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,N,O,,N,O,N,,,,OK,,
45.13%,39,,Banque mondiale,"La Banque mondiale, parfois abrégée BM (en anglais : World Bank) est une institution financière internationale qui accorde des prêts à effet de levier à des pays en développement pour des projets d'investissement.",https://www.banquemondiale.org/fr/home,3,USA,Monde,banque mondiale,Juillet 1944,Non lucratif,environ 10 000 salariés,Public,"	
Institution financière internationale, institution spécialisée des Nations unies, organisation internationale",Nations Unies,Emissions CO2 par habitant,,Elevée,Basse,Open data,1,0,Monde,,Transition,N,N,O,N,N,,N,https://donnees.banquemondiale.org/indicateur/EN.ATM.CO2E.PC,,Sans objet,,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sarah Daymier,Sarah DAYMIER,Fini,N,,Open Data,Sarah DAYMIER,N,N,N,,,,,,,,,,,Data,O,O,N,,,,Monde,Pays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK,,
32.74%,40,,Beyond Ratings (London Stock Exchange Group),"Beyond Ratings offers new financial rating standards that systematically and transparently incorporate Environmental, Social and Governance (ESG) criteria into credit risk analysi",https://beyond-ratings.com/,1,France,Monde,"secteur d'activité de conseil, de recherche et d'analyse de données",2014,776k,11-50 employés,Privé,Market,,,,Elevée,Elevée,Abonnement,0,1,,,ESG,N,,,,N,,N,https://beyond-ratings.com/,,"Head of climate research Beyond Ratings : Nicolas Lancesseur
Data scientist Beyond Ratings : Ruben Haalebos ",,"51, rue Saint Anne
75002 Paris - France
",+33(0)9 86 27 57 57,sales@beyond-ratings.com,"Mail envoyé le 07/04 (Laura)
Relance effectuée par mail le 22/04 (Laura)",,Romain Berrou,Laura W,A relancer,N,,,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
30.09%,41,,Bloomberg,"Bloomberg LP1 est un groupe financier américain spécialisé dans les services aux professionnels des marchés financiers et dans l'information économique et financière aussi bien en tant qu'agence de presse que directement, via de nombreux médias (télévision, radio, presse, internet et livres) dont les plus connus sont probablement ses propres chaînes de télévision par câble/satellite",https://www.bloomberg.com,1,US,Monde,secteur d'activité d'agence de presse spécialisée dans l'information économique et financière,1981,9 milliards,15 500,Privé,Market,,,,Elevée,Elevée,Abonnement,0,1,,,Autre,N,,,,N,,N,https://www.bloomberg.com/professional/contact-specialist/?mpam-page=21140&tactic-page=429341,,,,,,,,,Romain Berrou,Antoine Ngo,Fini,N,Récupération des informations via les travaux de recherche,,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,accès par nos partenaires universitaires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
30.97%,42,,BP Statistical Review,"La société BP est une compagnie britannique de recherche, d'extraction, de raffinage et de vente de pétrole fondée en 1909",https://www.bp.com,1,UK,Monde,secteur d'activité d'analyse des données statistiques,1909,161 061 204,73000,Privé,Market,,,Données statistiques pétrolières de BP,Basse,Elevée,Abonnement,0,1,,,Hors Sujet,N,,,,N,,N,https://www.bp.com/en/global/corporate/energy-economics/statistical-review-of-world-energy.html,"Evolution de la consommation
Estimation des stocks disponibles
Mix énergétique mondial 
Prix du barrel 

https://www.bp.com/en/global/corporate/energy-economics/statistical-review-of-world-energy/downloads.html",,,,,,,,QLU,Antoine Ngo,Non commencé,N,,,,N,N,N,,,,,,,,,,,Hors sujet,,,,,,,,,,,,,,,"données disponibles à https://www.bp.com/en/global/corporate/energy-economics/statistical-review-of-world-energy/downloads.html

12/04/2021 : Data provenant de S&P Global Platts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
15.04%,43,,Cambridge institute of sustainability leadership,The University of Cambridge Institute for Sustainability Leadership (CISL) is a globally influential Institute developing leadership and solutions for a sustainable economy.,https://www.cisl.cam.ac.uk/,1,UK,Monde,secteur d'activité de l'enseignement supérieur et de la recherche,1989,NC,NC,Public,Institut (Université),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
35.40%,44,,Carbon Delta (racheté par MSCI),CARBON DELTA is a boutique research firm that specializes in identifying and analyzing the climate change resilience of publicly traded companies.,,1,Suisse,Monde,secteur d'activité de la recherche spécialisé dans l'identification et l'analyse de la résilience au changement climatique,2015,NC,11-50 employés,Privé,Tech,,Climate value at risk,Climate Value-at-Risk (CVaR) is designed to provide a forward-looking and return-based valuation assessment to measure climate related risks and opportunities in an investment portfolio. The fully quantitative model offers deep insights into how climate change could affect company valuations.,Elevée,Elevée,Abonnement,0,1,,,Physique / Transition,N,O,O,N,N,,N,,,,,," +41 44 521 3780.
+41 78 803 21 02",,22/03/2021,,Sarah Daymier,Guillaume Sevellec,Fini,O,NDA,,Elisabeth CVAR,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,"Développement de modèle de gestion de risque, projet similaire à la thèse.
22/03/2021 : redirigé vers MSCI. M. Jean-Pierre PICAREL (Executive Director 0182886374 / 0620253599)
Se souvient du contact qu'il a eu fin janvier 2021 avec Guillaume Flament. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
30.97%,45,,Carbon Disclosure Project CDP,"CDP is a not-for-profit charity that runs the global disclosure system for investors, companies, cities, states and regions to manage their environmental impacts. The world’s economy looks to CDP as the gold standard of environmental reporting with the richest and most comprehensive dataset on corporate and city action.",https://www.cdp.net/en,1,UK - Berlin,Monde,secteur d'activité des organismes de bienfaisance à but non lucratif,2000,Non lucratif,,Public,Organisme (Université),,,,Elevée,Elevée,Abonnement,0,1,,,Physique,N,,,,N,,N,https://www.cdp.net/en,,,,,,partnerships@cdp.net,"mail envoyé le 15/03/2021
relance le 24/03
Relance le 22/04 (Laura)",,Romain Berrou,Laura W,A relancer (2ème fois),O,A analyser,,Elisabeth CVAR,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
21.24%,46,,Carbon tracker,"Carbon Tracker est un think tank basé à Londres qui étudie les effets du réchauffement climatique sur les marchés financiers. Carbon Tracker a popularisé la notion de « bulle carbone », qui décrit l'incompatibilité entre le développement continu du financement de projets de recherche, exploitation et utilisation de combustibles fossiles et la lutte contre le changement climatique",https://carbontracker.org/reports/mind-the-gap/,1,UK,Monde,"secteur d'activité de la recherche sur le réchauffement climatique, le risque financier, bulle du carbone",2008,Non lucratif,,Privé,Organisme,,Mind The Gap,"This study updates a first report (2 Degrees of Separation), and quantifies risk of overinvestment under a 1.75ᵒC scenario",Basse,,,,,,,,N,,,,N,,N,https://carbontracker.org/reports/mind-the-gap/,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,Rapport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
33.63%,47,,Carbon tracker intiative ,"Think tank indépendant, visant à aider les industries à prendre la mesure de leurs impacts  
IPCC, Global Carbon Project, BP, CTI analysis. ",https://carbontracker.org/?lang=fr,1,France,Monde,"secteur d'activité de la recherche sur le réchauffement climatique, le risque financier, bulle du carbone",2008,Non lucratif,,Privé,Tech,,,,Elevée,Elevée,Abonnement,0,1,,,Physique / Transition,N,O,O,N,N,,N,,"“Comparison between estimated Carbon reserves and the Carbon budget compatible with a
+1.5°C/1.75°C global warming scenario”
Infographies variées 

https://carbontracker.org/reports/balancing-the-budget/
https://carbontracker.org/resources/tools-and-insights/?category=infographics",,,"For general inquiries contacthello@carbontracker.org
For media inquiries contactmedia@carbontracker.org
For funding inquiries contactfunding@carbontracker.org",,"For general inquiries contacthello@carbontracker.org
For media inquiries contactmedia@carbontracker.org
For funding inquiries contactfunding@carbontracker.org",11/03/2021,,Sarah Daymier,Guillaume Sevellec,En cours,Sans objet,,,,N,N,N,,,,,,,,,,,Report,,,,,,,,,,,,,,,"A défaut de numéro de téléphone, message envoyé via le site internet --> pas de retour
Linkedin : demande de connexion/message à Mark Campanale (Founder & Executive Chaiman) et Durand D'souza (Data scientist) (13/04/21)

Demande de connexion acceptée par Mark Campanale --> Envoi d'un message via linkedin
Réponse de M.Campanale  : please write what you’ve written to my CEO, Jon Grayson (jgrayson@carbontracker.org) and copy in Andrew Grant - agrant@carbontracker.org",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
37.17%,48,,Carbone 4,Carbone 4 est le premier cabinet de conseil indépendant spécialisé dans la stratégie bas carbone et l’adaptation au changement climatique.,http://www.carbone4.com/,1,France,France,secteur d'activité du conseil indépendant spécialisé dans la stratégie bas carbone et l’adaptation au changement climatique.,2007,3 769 100,51-200 employés,Privé,Consulting,,CRIS,,Elevée,Elevée,Abonnement,0,1,,,Physique / Transition,N,O,O,N,N,,N,"Site de deux  associés: https://jancovici.com/
https://alaingrandjean.fr/","Deux offres : 
CRIS (physique) : http://www.carbone4.com/carbone-4-presente-climate-risk-impact-screening-cris/
CIA (transition): https://www.carbone4.com/carbon-impact-analytics/?lang=en",Mariane Vincent (contact Green RWA à contacter avec eux),,"54 rue de clichy
75009 Paris
Métros : Ligne 2 station Place de Clichy, lignes 3, 12 et 14 station St Lazare, ligne 13 station Liège
RER E station Haussmann-St-Lazare
RER A station Auber
","service administratif : 01 76 21 10 00
service commercial : 01 76 21 10 12",,Contact vendredi 12/03/2021 pour partager sur les données utilisées par GreenRWA et celles de Carbone 4,,Cyril Regnier / Green RWA,Guillaume Sevellec,Fini,Sans objet,Echange sur les pratiques,,,N,N,N,,,,,,,,,,,Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
36.28%,49,,Carbone 4 ,Carbone 4 est le premier cabinet de conseil indépendant spécialisé dans la stratégie bas carbone et l’adaptation au changement climatique.,http://www.carbone4.com/,1,France,France,secteur d'activité du conseil indépendant spécialisé dans la stratégie bas carbone et l’adaptation au changement climatique.,2007,3 769 100,51-200 employés,Privé,Consulting,,Carbone 4 Finance,,Elevée,Elevée,Abonnement,0,1,,,Physique / Transition,N,O,O,N,N,,N,,"Deux offres : 
CRIS (physique) : http://www.carbone4.com/carbone-4-presente-climate-risk-impact-screening-cris/
CIA (transition): https://www.carbone4.com/carbon-impact-analytics/?lang=en","Site de deux  associés: https://jancovici.com/
https://alaingrandjean.fr/
Mariane Vincent (contact Green RWA à contacter avec eux)",,"54 rue de clichy
75009 Paris
Métros : Ligne 2 station Place de Clichy, lignes 3, 12 et 14 station St Lazare, ligne 13 station Liège
RER E station Haussmann-St-Lazare
RER A station Auber","service administratif : 01 76 21 10 00
service commercial : 01 76 21 10 12",,Contact vendredi 12/03/2021 pour partager sur les données utilisées par GreenRWA et celles de Carbone 4,,Cyril Regnier / Green RWA,Guillaume Sevellec,En cours,Sans objet,Echange sur les pratiques,,,N,N,N,,,,,,,,,,,Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
30.97%,50,,carbontrust,"The Science Based Targets initiative is a collaboration between CDP, the United Nations Global Compact (UNGC), World Resources Institute (WRI), and the World Wide Fund for Nature (WWF) and one of the We Mean Business Coalition commitments",https://sciencebasedtargets.org/about-the-science-based-targets-initiative/,1,UK,Monde,secteur d'activité basé sur la science (développement de 3 types d'approches SBT),,NC,,Privé,Tech,,Science Based Targets SBT database (database) + SDA approach (model),,Basse,Elevée,Abonnement,0,1,,,TBD,N,,,,N,,N,https://sciencebasedtargets.org/about-the-science-based-targets-initiative/,https://sciencebasedtargets.org/about-us/sbtn,Site web pour contact,,https://sciencebasedtargets.org/contact,,,contacté via formulaire sur site le 15/03/2021,,QLU,Antoine Ngo,En cours,N,,,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
35.40%,51,,CERFACS ,"Données de recherche et prévision alimentant le GIEC notamment
Données phyisques (inondation, feu de forêt, ...)",https://cerfacs.fr,1,France,France,"secteur d'activité de recherche fondamentale et appliquée, spécialisé dans la modélisation et la simulation numérique",1987,NC,51-200,Public,Institut de recherche,,,,Elevée,,Abonnement,0,1,,,Physique / Transition,N,O,O,N,N,,O,https://cerfacs.fr/nous-contacter/,,Catherine Lambert / Laurent Terray,,,,,11/03/2021,La semaine du 22/03/2021,Cyril Regnier,Guillaume Sevellec,Fini,N,Pas de collaboration,,,N,N,N,,,,,,,,,,,Data,,,,,,,Monde,,,,,,,,"Premier contact établis avec la directrice du Cerfacs qui est très intéressée par les travaux de thèse et souhaiterait programmer un point la semaine du 22 mars avec Laurent Terray. 
Ils seraient intéressés je pense par les impacts potentiels de notre approche risque physique sur les acteurs de l'économie. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
15.04%,52,,China's national development and reform commission,"The NDRC implements the CPC Central Committee’s policies and decisions on development and reform, and adheres to and strengthens the party’s centralized and unified leadership over development and reform in the process of performing its duties.",https://en.ndrc.gov.cn/,1,Chine,Chine,secteur d'activité de l'administration publique (tutelle) des activités économiques,2003,Non lucratif,,Public,Organisation gouvernementale,State Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
33.63%,53,,CICERO,CICERO is Norway’s foremost institute for interdisciplinary climate research.,https://www.cicero.oslo.no/en,1,Norvège,Norvège,secteur d'activité de recherche,1990,Non lucratif,,Public,Centre de recherche international,Université d'Oslo,,,Elevée,Elevée,Abonnement,0,1,,,TBD,N,,,,N,,N,https://www.cicero.oslo.no/en,,Christa Clapp,"Co-founder and Managing Partner, 
CICERO Shades of Green Ltd. Head of Climate Finance, CICERO",,+47 91399585,christa.clapp@cicero.green christa.clapp@cicero.oslo.no,"Mail envoyé le 06/04 (Laura) - réponse le 07/04 avec lien vers les données accessibles : https://www.arcgis.com/apps/MapSeries/index.html?appid=24aa80957be242a794114cd4c9054518#
Pas intéressé par un partenariat commercial",,Romain Berrou,Laura W,En cours,N,Pas de collaboration,,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
19.47%,54,,CIRED,"Le Centre international de recherche sur l’environnement et le développement (CIRED) est un groupe de recherche interdisciplinaire à large dominante économique, créé en 1973 par Ignacy Sachs, sur la base d’un noyau rassemblé dès 1971 sous le nom de Groupe de recherche sur la stratégie de développement.",http://www.centre-cired.fr/fr/,1,France,France,secteur d'activité de recherche,1973,Non lucratif,,Public,Unité mixte de recherche,CNRS - École des PontsParisTech - CIRAD - AgroParisTech - INSHS - INEE - INSIS,,,Basse,,,,,,,,N,,,,N,,N,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
46.02%,55,,CITEPA,Le Centre interprofessionnel technique d'études de la pollution atmosphérique (CITEPA) est un centre technique interprofessionnel avec un statut d'association loi de 1901. Il a pour vocation de diffuser une information pertinente et d'actualité sur les évolutions réglementaires et techniques en matière de pollution atmosphérique.,https://www.citepa.org/fr,1,France,France,Recherche développement en autres sciences physiques et naturelles,1961,NC,11-50 ,Public,Association,Ministère de la Transition écologique et solidaire,Données d'émission Secten,Inventaire des GES en France ,Moyenne,,Open Data,1,0,,,Transition,N,N,O,N,N,,N,"https://www.citepa.org/fr/donnees-emissions/
Téléchargement : https://www.citepa.org/fr/telechargements/",https://www.citepa.org/fr/donnees-emissions/ ,Lisa GRELLIER,,,0760966358,lisa.grellier@citepa.org,2 Messages et contact laissés à l'acceuil pour Lisa GRELLIER faute d'indisponibilité le 10/03,31/03/2021,David Rodrigues,Soukaina TAZROUTI,Fini,N,,Open Data,Elisabeth CVAR,N,N,N,Excel,,,,,,,,,,Data,,,,Annuelle (pas sûr),,,France + Outre mer,,,1990,2019,,Données par substance/ Données par secteur/Données complémentaires/Base de données Ominea/Tables CRF et CRF-KP/Données NFR,,"CITEPA met à dsiposition de l'open data. proposition d'un NDA pour les données en interne, et malheuresement un refus de la part des responsables",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VIDE,,
16.81%,56,,Civil society review,"As social movements, environmental and development NGOs, trade unions, faith and other civil society groups, we have come together to assess the climate commitments that have been put on the table through the UN climate negotiations.

We seek to identify which countries are offering to do their fair share, which need to do more, and present recommendations on how to close the emissions gap.",http://civilsocietyreview.org/,1,,Monde,secteur d'activité des organisations internationales à but non lucratif,,Non lucratif,,Public,ONG,,,,Basse,,,,,,,Transition,N,,,,N,,N,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
